Microbe,Condition,Effect,Sample Type,Host,Method,Study Title,PubMed Link
Lactobacillus,Autism,Elevated,Faeces,Human,qPCR,Gastrointestinal microbiota in children with autism in Slovakia.,"https://www.ncbi.nlm.nih.gov/pubmed/25446201
"
Desulfovibrio,Autism,Elevated,Faeces,Human,qPCR,Gastrointestinal microbiota in children with autism in Slovakia.,"https://www.ncbi.nlm.nih.gov/pubmed/25446201
"
Clostridia cluster I,Autism,Elevated,Faeces,Human,qPCR,Gastrointestinal microbiota in children with autism in Slovakia.,"https://www.ncbi.nlm.nih.gov/pubmed/25446201
"
Eggerthella lenta,Multiple Sclerosis,Elevated,Faeces,Human,16S rRNA sequencing,"Dysbiosis in the gut microbiota of patients with multiple sclerosis, with a striking depletion of species belonging to Clostridia XIVa and IV clusters.",https://www.ncbi.nlm.nih.gov/pubmed/26367776
Streptococcus thermophiles,Multiple Sclerosis,Elevated,Faeces,Human,16S rRNA sequencing,"Dysbiosis in the gut microbiota of patients with multiple sclerosis, with a striking depletion of species belonging to Clostridia XIVa and IV clusters.",https://www.ncbi.nlm.nih.gov/pubmed/26367776
Faecalibacterium prausnitzii,Multiple Sclerosis,Reduced,Faeces,Human,16S rRNA sequencing,"Dysbiosis in the gut microbiota of patients with multiple sclerosis, with a striking depletion of species belonging to Clostridia XIVa and IV clusters.",https://www.ncbi.nlm.nih.gov/pubmed/26367776
Anaerostipes hadrus,Multiple Sclerosis,Reduced,Faeces,Human,16S rRNA sequencing,"Dysbiosis in the gut microbiota of patients with multiple sclerosis, with a striking depletion of species belonging to Clostridia XIVa and IV clusters.",https://www.ncbi.nlm.nih.gov/pubmed/26367776
Eubacterium rectale,Multiple Sclerosis,Reduced,Faeces,Human,16S rRNA sequencing,"Dysbiosis in the gut microbiota of patients with multiple sclerosis, with a striking depletion of species belonging to Clostridia XIVa and IV clusters.",https://www.ncbi.nlm.nih.gov/pubmed/26367776
Clostridium,Multiple Sclerosis,Reduced,Faeces,Human,16S rRNA sequencing,"Dysbiosis in the gut microbiota of patients with multiple sclerosis, with a striking depletion of species belonging to Clostridia XIVa and IV clusters.",https://www.ncbi.nlm.nih.gov/pubmed/26367776
Bacteroides stercoris,Multiple Sclerosis,Reduced,Faeces,Human,16S rRNA sequencing,"Dysbiosis in the gut microbiota of patients with multiple sclerosis, with a striking depletion of species belonging to Clostridia XIVa and IV clusters.",https://www.ncbi.nlm.nih.gov/pubmed/26367776
Bacteroides coprocola,Multiple Sclerosis,Reduced,Faeces,Human,16S rRNA sequencing,"Dysbiosis in the gut microbiota of patients with multiple sclerosis, with a striking depletion of species belonging to Clostridia XIVa and IV clusters.",https://www.ncbi.nlm.nih.gov/pubmed/26367776
Lactobacillus rogosae,Multiple Sclerosis,Reduced,Faeces,Human,16S rRNA sequencing,"Dysbiosis in the gut microbiota of patients with multiple sclerosis, with a striking depletion of species belonging to Clostridia XIVa and IV clusters.",https://www.ncbi.nlm.nih.gov/pubmed/26367776
Lachnospira pectinoschiza,Multiple Sclerosis,Reduced,Faeces,Human,16S rRNA sequencing,"Dysbiosis in the gut microbiota of patients with multiple sclerosis, with a striking depletion of species belonging to Clostridia XIVa and IV clusters.",https://www.ncbi.nlm.nih.gov/pubmed/26367776
Roseburia,Multiple Sclerosis,Reduced,Faeces,Human,16S rRNA sequencing,"Dysbiosis in the gut microbiota of patients with multiple sclerosis, with a striking depletion of species belonging to Clostridia XIVa and IV clusters.",https://www.ncbi.nlm.nih.gov/pubmed/26367776
Sutterella wadsworthensis,Multiple Sclerosis,Reduced,Faeces,Human,16S rRNA sequencing,"Dysbiosis in the gut microbiota of patients with multiple sclerosis, with a striking depletion of species belonging to Clostridia XIVa and IV clusters.",https://www.ncbi.nlm.nih.gov/pubmed/26367776
Bacteroides coprophilus,Multiple Sclerosis,Reduced,Faeces,Human,16S rRNA sequencing,"Dysbiosis in the gut microbiota of patients with multiple sclerosis, with a striking depletion of species belonging to Clostridia XIVa and IV clusters.",https://www.ncbi.nlm.nih.gov/pubmed/26367776
Desulfotomaculum,Multiple Sclerosis,Reduced,Faeces,Human,16S rRNA sequencing,"Dysbiosis in the gut microbiota of patients with multiple sclerosis, with a striking depletion of species belonging to Clostridia XIVa and IV clusters.",https://www.ncbi.nlm.nih.gov/pubmed/26367776
Prevotella copri,Multiple Sclerosis,Reduced,Faeces,Human,16S rRNA sequencing,"Dysbiosis in the gut microbiota of patients with multiple sclerosis, with a striking depletion of species belonging to Clostridia XIVa and IV clusters.",https://www.ncbi.nlm.nih.gov/pubmed/26367776
Megamonas funiformis,Multiple Sclerosis,Reduced,Faeces,Human,16S rRNA sequencing,"Dysbiosis in the gut microbiota of patients with multiple sclerosis, with a striking depletion of species belonging to Clostridia XIVa and IV clusters.",https://www.ncbi.nlm.nih.gov/pubmed/26367776
